food_and_serving,calories,calories_from_fat,total_fat_g,total_fat_dv,sodium_g,sodium_dv,potassium_g,potassium_dv,total_carbo_hydrate_g,total_carbo_hydrate_dv,dietary_fiber_g,dietary_fiber_dv,sugars_g,protein_g,vitamin_a_dv,vitamin_c_dv,calcium_dv,iron_dv,saturated_fat_dv,saturated_fat_mg,chole_sterol_dv,chole_sterol_mg,food_type
Plums,70,0,0,0,0,0,230,7,19,6,2,8,16,1,8,10,0,2,,,,,Fruits Serving Size (gram weight/ounce weight)
Pollock,90,10,1,2,110,5,370,11,0,0,,,,20,2,0,0,2,0,0,80,27,Seafood, Serving Size (84 g/3 oz)
Potato,110,0,0,0,0,0,620,18,26,9,2,8,1,3,0,45,2,6,,,,,Vegetables, Serving Size (gram weight/ounce weight)
Radishes,10,0,0,0,55,2,190,5,3,1,1,4,2,0,0,30,2,2,,,,,Vegetables, Serving Size (gram weight/ounce weight)
Rainbow Trout,140,50,6,9,35,1,370,11,0,0,,,,20,4,4,8,2,2,10,55,18,Seafood, Serving Size (84 g/3 oz)
Rockfish,110,15,2,3,70,3,440,13,0,0,,,,21,4,0,2,2,0,0,40,13,Seafood, Serving Size (84 g/3 oz)
Salmon,200,90,10,15,55,2,430,12,0,0,,,,24,4,4,2,2,2,10,70,23,Seafood, Serving Size (84 g/3 oz)
Salmon,130,40,4,6,65,3,420,12,0,0,,,,22,2,0,2,4,1,5,70,23,Seafood, Serving Size (84 g/3 oz)
Scallops,140,10,1,2,310,13,430,12,5,2,,,,27,2,0,4,14,0,0,65,22,Seafood, Serving Size (84 g/3 oz)
Shrimp,100,10,,2,240,10,220,6,0,0,,,,21,4,4,6,10,0,0,170,57,Seafood, Serving Size (84 g/3 oz)
Strawberries,50,0,0,0,0,0,170,5,11,4,2,8,8,1,0,160,2,2,,,,,Fruits Serving Size (gram weight/ounce weight)
Summer Squash,20,0,0,0,0,0,260,7,4,1,2,8,2,1,6,30,2,2,,,,,Vegetables, Serving Size (gram weight/ounce weight)
Sweet Cherries ,100,0,0,0,0,0,350,10,26,9,1,4,16,1,2,15,2,2,,,,,Fruits Serving Size (gram weight/ounce weight)
Sweet Corn,90,20,,4,0,0,250,7,18,6,2,8,5,4,2,10,0,2,,,,,Vegetables, Serving Size (gram weight/ounce weight)
Sweet Potato,100,0,0,0,70,3,440,13,23,8,4,16,7,2,120,30,4,4,,,,,Vegetables, Serving Size (gram weight/ounce weight)
Swordfish,120,50,6,9,100,4,310,9,0,0,,,,16,2,2,0,6,,8,40,13,Seafood, Serving Size (84 g/3 oz)
Tangerine,50,0,0,0,0,0,160,5,13,4,2,8,9,1,6,45,4,0,,,,,Fruits Serving Size (gram weight/ounce weight)
Tilapia,110,20,,4,30,1,360,10,0,0,,,,22,0,2,0,2,1,5,75,25,Seafood, Serving Size (84 g/3 oz)
Tomato,25,0,0,0,20,1,340,10,5,2,1,4,3,1,20,40,2,4,,,,,Vegetables, Serving Size (gram weight/ounce weight)
Tuna,130,15,,2,40,2,480,14,0,0,,,,26,2,2,2,4,0,0,50,17,Seafood, Serving Size (84 g/3 oz)
Watermelon,80,0,0,0,0,0,270,8,21,7,1,4,20,1,30,25,2,4,,,,,Fruits Serving Size (gram weight/ounce weight)
